title	score
Kiokuya (MANGA)	90
Kiseijuu (MANGA)	90
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai (NOVEL)	90
Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai (NOVEL)	90
Kaguya-sama wa Kokurasetai Shousetsu-ban: Shuuchiin Gakuen Nanafushigi (NOVEL)	90
Metamorphose no Engawa (MANGA)	90
Ohayou, Ibarahime (MANGA)	90
Kuzu no Honkai (MANGA)	90
Hitori Koukan Nikki (MANGA)	90
Planetarian: Chiisana Hoshi no Yume (NOVEL)	90
Machida-kun no Sekai (MANGA)	90
Futari Escape (MANGA)	90
Ibeon Saengdo Jal Butakae (MANGA)	90
Reiraku (MANGA)	90
Mitsuboshi Colors (MANGA)	90
Oogami-san, Dadamore desu. (MANGA)	90
Hello, Hello and Hello (NOVEL)	90
Hitoribocchi no Marumaru Seikatsu (MANGA)	90
Hitoribocchi no OO Seikatsu (MANGA)	90
Nademonogatari (NOVEL)	90
All You Need Is Kill (MANGA)	90
Yeonui Pyeonji (MANGA)	90
Kokuhaku (MANGA)	90
Okitegami Kyouko no Ryokouki (NOVEL)	90
Okitegami Kyouko no Konintodoke (NOVEL)	90
Sora no Aosa wo Shiru Hito yo: Alternative Melodies (NOVEL)	90
Yokohama Kaidashi Kikou (MANGA)	90
Bonnouji (MANGA)	90
Yuki Onna to Kani wo Kuu (MANGA)	90
Umibe no Onnanoko (MANGA)	90
Urami Koi, Koi, Urami Koi. (MANGA)	90
Hyakunichikan!! (MANGA)	90
Tanaka-kun wa Itsumo Kedaruge (MANGA)	90
Nettaigyo wa Yuki ni Kogareru (MANGA)	90
Taiyou no Ie (MANGA)	90
Watashitachi no Shiawase na Jikan (MANGA)	90
Okitegami Kyouko no Bibouroku (MANGA)	90
Chikan Otoko (MANGA)	90
Kaoru Hana wa Rin to Saku (TV)	87
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd SEASON - Kakusei Zenya (TV)	87
orange: Mirai (MOVIE)	87
Hibike! Euphonium: Todoketai Melody (MOVIE)	87
Hidamari Sketch x Honeycomb (TV)	87
Yoru no Kurage wa Oyogenai (TV)	87
Natsume Yuujinchou Roku (TV)	87
Hourou Musuko Specials (SPECIAL)	87
Zoku Natsume Yuujinchou (TV)	87
Kamisama Hajimemashita (TV)	87
Madogiwa no Totto-chan (MOVIE)	87
Natsu e no Tunnel, Sayonara no Deguchi (MOVIE)	87
Shingeki no Kyojin: The Final Season Part 2 (TV)	87
Shingeki no Kyojin Season 3 Part 2 (TV)	87
Shingeki no Kyojin Season 2 (TV)	87
Horimiya: piece (TV)	87
Himitsu no Hana no Niwa (ONA)	87
Yuru Camp△ Movie (MOVIE)	87
Just Because! (TV)	87
Hibike! Euphonium (TV)	87
Hanasaku Iroha (TV)	87
Deaimon (TV)	87
Non Non Biyori: Repeat (TV)	87
Kaguya-sama wa Kokurasetai?: Tensaitachi no Renai Zunousen (TV)	87
Stranger: Mukou Hadan (MOVIE)	87
Violet Evergarden (TV)	87
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san (TV)	87
Konohana Kitan (TV)	87
Coquelicot-zaka kara (MOVIE)	87
Doukyonin wa Hiza, Tokidoki, Atama no Ue. (TV)	87
Omoide no Marnie (MOVIE)	87
Ryman's Club (TV)	87
Kokoro ga Sakebitagatterun da. (MOVIE)	87
Shikioriori (MOVIE)	87
Haikyuu!! 2nd Season (TV)	87
Hotarubi no Mori e (MOVIE)	87
Mahou Shoujo Madoka☆Magica: Hangyaku no Monogatari (MOVIE)	87
Kokoro (MANGA)	87
Yoimonogatari (NOVEL)	87
Seishun Buta Yarou wa My Student no Yume wo Minai (NOVEL)	87
Koibito no Namae (MANGA)	87
Yi Jiu Si Wu Xia Mo (MANGA)	87
Suna no Miyako (MANGA)	87
Rental Onii-chan (MANGA)	87
Rojika to Rakkasei (MANGA)	87
Bitter Virgin (MANGA)	87
Seishun Buta Yarou wa Siscon Idol no Yume wo Minai (NOVEL)	87
Seishun Buta Yarou wa Logical Witch no Yume wo Minai (NOVEL)	87
100-nen Ikita Neko no Hanashi (MANGA)	87
Aa toka Uu shika Ienai (MANGA)	87
Muse no Shinzui (MANGA)	87
Wotaku ni Koi wa Muzukashii (MANGA)	87
Hana wa Shi ni Tagaru (ONE_SHOT)	87
Hitoribocchi no Chikyuu Shinryaku (MANGA)	87
Jikyuu 300-yen no Shinigami (MANGA)	87
Tomodachi Toshite Daisuki (MANGA)	87
ib: Instant Bullet (MANGA)	87
Ookumo-chan Flash Back (MANGA)	87
Shigatsu wa Kimi no Uso: 6-nin no Études (NOVEL)	87
Kimi ga Shinu made Ato 100-nichi (MANGA)	87
Hello, Hello and Hello (MANGA)	87
Itsuya-san (MANGA)	87
Aharen-san wa Hakarenai (MANGA)	87
Kimi no Na wa. Another Side: Earthbound (NOVEL)	87
Ookami Shounen wa Kyou mo Uso wo Kasaneru (MANGA)	87
Tonari no Seki no Satou-san (MANGA)	87
Kubo-san wa Mob wo Yurusanai (MANGA)	87
Inari, Konkon, Koi Iroha. (MANGA)	87
Sesuji wo Pin! to: Shikakou Kyougi Dance-bu e Youkoso (MANGA)	87
Umarekawattemo Mata, Watashi to Kekkon Shitekuremasu ka (MANGA)	87
Kuzumi-kun, Kuuki Yometemasu ka? (MANGA)	87
Nidome no Natsu, Nidoto Aenai Kimi (MANGA)	87
Kimi wa Tsukiyo ni Hikari Kagayaku +Fragments (NOVEL)	87
Kobayashi-san Chi no Maidragon (TV)	85
Boku no Kokoro no Yabai Yatsu 2nd Season (TV)	85
Haikyuu!!: Gomi Suteba no Kessen (MOVIE)	85
Aharen-san wa Hakarenai Season 2 (TV)	85
Natsume Yuujinchou Roku Specials (SPECIAL)	85
Fruits Basket: prelude (MOVIE)	85
